nome,uf,email
SÉRGIO IVAN MORAES,RS,dep.sergiomoraes@camara.leg.br
JOHNATHAN PEREIRA DE JESUS,RR,dep.jhonatandejesus@camara.leg.br
HUGO MOTTA WANDERLEY DA NÓBREGA,PB,dep.hugomotta@camara.leg.br
VICENTE CÂNDIDO DA SILVA,SP,dep.vicentecandido@camara.leg.br
DANIEL GOMES DE ALMEIDA,BA,dep.danielalmeida@camara.leg.br
ESPERIDIÃO AMIN HELOU FILHO,SC,dep.esperidiaoamin@camara.leg.br
CRISTIANE BRASIL FRANCISCO,RJ,dep.cristianebrasil@camara.leg.br
ENIO JOSÉ VERRI,PR,dep.enioverri@camara.leg.br
FÁBIO SALUSTINO MESQUITA DE FARIA,RN,dep.fabiofaria@camara.leg.br
WALDIR SOARES DE OLIVEIRA,GO,dep.delegadowaldir@camara.leg.br
HELDER IGNACIO SALOMAO,ES,dep.heldersalomao@camara.leg.br
ANTONIO BALHMANN CARDOSO NUNES FILHO,CE,dep.antoniobalhmann@camara.leg.br
NELSON MARQUEZELLI,SP,dep.nelsonmarquezelli@camara.leg.br
José Reinaldo Carneiro Tavares,MA,dep.josereinaldo@camara.leg.br
VALMIR PRASCIDELLI,SP,dep.valmirprascidelli@camara.leg.br
PATRUS ANANIAS DE SOUSA,MG,dep.patrusananias@camara.leg.br
RICARDO JOSÉ MAGALHÃES BARROS,PR,dep.ricardobarros@camara.leg.br
JANETE MARIA GÓES CAPIBERIBE,AP,dep.janetecapiberibe@camara.leg.br
FRANCISCO DE ASSIS CARVALHO GONÇALVES,PI,dep.assiscarvalho@camara.leg.br
MIGUEL MOUBADDA HADDAD,SP,dep.miguelhaddad@camara.leg.br
JOVAIR DE OLIVEIRA ARANTES,GO,dep.jovairarantes@camara.leg.br
LAERCIO JOSÉ DE OLIVEIRA,SE,dep.laerciooliveira@camara.leg.br
EDSON MOREIRA DA SILVA,MG,dep.delegadoedsonmoreira@camara.leg.br
ADALBERTO CAVALCANTI RODRIGUES,PE,dep.adalbertocavalcanti@camara.leg.br
SORAYA ALENCAR DOS SANTOS,RJ,dep.sorayasantos@camara.leg.br
MARIA GORETE PEREIRA,CE,dep.goretepereira@camara.leg.br
JANDIRA FEGHALI,RJ,dep.jandirafeghali@camara.leg.br
ARNALDO CALIL PEREIRA JARDIM,SP,dep.arnaldojardim@camara.leg.br
PAULO PEREIRA DA SILVA,SP,dep.paulopereiradasilva@camara.leg.br
ADELSON BARRETO DOS SANTOS,SE,dep.adelsonbarreto@camara.leg.br
FELIPE AUGUSTO LYRA CARRERAS,PE,dep.felipecarreras@camara.leg.br
NEWTON CARDOSO JUNIOR,MG,dep.newtoncardosojr@camara.leg.br
PAUDERNEY TOMAZ AVELINO,AM,dep.pauderneyavelino@camara.leg.br
PAULO FERNANDO DOS SANTOS,AL,dep.paulao@camara.leg.br
TANIA RAQUEL DE QUEIROZ MUNIZ,MG,dep.raquelmuniz@camara.leg.br
JOSE LUIZ STÉDILE,RS,dep.josestedile@camara.leg.br
FRANCISCO EVERARDO OLIVEIRA SILVA,SP,dep.tiririca@camara.leg.br
MARCO ANTÔNIO FELICIANO,SP,dep.pr.marcofeliciano@camara.leg.br
WELITON FERNANDES PRADO,MG,dep.welitonprado@camara.leg.br
ALEXANDRE LEITE DA SILVA,SP,dep.alexandreleite@camara.leg.br
ANTONIO GOULART DOS REIS,SP,dep.goulart@camara.leg.br
FERNANDO DESTITO FRANCISCHINI,PR,dep.delegadofrancischini@camara.leg.br
GENECIAS MATEUS NORONHA,CE,dep.geneciasnoronha@camara.leg.br
DARCÍSIO PAULO PERONDI,RS,dep.darcisioperondi@camara.leg.br
ASSIS MIGUEL DO COUTO,PR,dep.assisdocouto@camara.leg.br
FRANCISCO EURICO DA SILVA,PE,dep.pastoreurico@camara.leg.br
VICTORIO GALLI FILHO,MT,dep.professorvictoriogalli@camara.leg.br
IRACEMA MARIA PORTELLA NUNES NOGUEIRA LIMA,PI,dep.iracemaportella@camara.leg.br
FRANCISCO DANILO BASTOS FORTE,CE,dep.daniloforte@camara.leg.br
PAULO VELLOSO DANTAS AZI,BA,dep.pauloazi@camara.leg.br
ZENAIDE MAIA CALADO PEREIRA DOS SANTOS,RN,dep.zenaidemaia@camara.leg.br
WALDIR MARANHÃO CARDOSO,MA,dep.waldirmaranhao@camara.leg.br
SIMONE MARIA MORGADO FERREIRA,PA,dep.simonemorgado@camara.leg.br
JOSÉ WELLINGTON ROBERTO,PB,dep.wellingtonroberto@camara.leg.br
JONY MARCOS DE SOUZA ARAUJO,SE,dep.jonymarcos@camara.leg.br
GLAUBER DE MEDEIROS BRAGA,RJ,dep.glauberbraga@camara.leg.br
MARA CRISTINA GABRILLI,SP,dep.maragabrilli@camara.leg.br
DAGOBERTO NOGUEIRA FILHO,MS,dep.dagobertonogueira@camara.leg.br
GIVALDO DE SÁ GOUVEIA,AL,dep.givaldocarimbao@camara.leg.br
SILAS CÂMARA,AM,dep.silascamara@camara.leg.br
JOSÉ LEONARDO COSTA MONTEIRO,MG,dep.leonardomonteiro@camara.leg.br
JESSICA ROJAS SALES,AC,dep.jessicasales@camara.leg.br
MARCELO HENRIQUE TEIXEIRA DIAS,MG,dep.marceloalvaroantonio@camara.leg.br
SERGIO OLIMPIO GOMES,SP,dep.majorolimpio@camara.leg.br
VALDIR COLATTO,SC,dep.valdircolatto@camara.leg.br
LUCIANO DUCCI,PR,dep.lucianoducci@camara.leg.br
ANTÔNIO CARLOS VALADARES FILHO,SE,dep.valadaresfilho@camara.leg.br
WEVERTON ROCHA MARQUES DE SOUSA,MA,dep.wevertonrocha@camara.leg.br
LUIZ HILOSHI NISHIMORI,PR,dep.luiznishimori@camara.leg.br
JULIO LUIZ BAPTISTA LOPES,RJ,dep.juliolopes@camara.leg.br
JOAO DERLY DE OLIVEIRA NUNES JUNIOR,RS,dep.joaoderly@camara.leg.br
CELSO MALDANER,SC,dep.celsomaldaner@camara.leg.br
JORGE JOSE SANTOS PEREIRA SOLLA,BA,dep.jorgesolla@camara.leg.br
FABIO FERNANDES DE SOUSA,GO,dep.fabiosousa@camara.leg.br
JUTAHY MAGALHÃES JÚNIOR,BA,dep.jutahyjunior@camara.leg.br
ANTONIO WANDSCHEER,PR,dep.toninhowandscheer@camara.leg.br
VALMIR CARLOS DA ASSUNÇÃO,BA,dep.valmirassuncao@camara.leg.br
WALTER PEREIRA ALVES,RN,dep.walteralves@camara.leg.br
NILSON PINTO DE OLIVEIRA,PA,dep.nilsonpinto@camara.leg.br
HERMES PARCIANELLO,PR,dep.hermesparcianello@camara.leg.br
JOSE ORCIRIO MIRANDA DOS SANTOS,MS,dep.zecadopt@camara.leg.br
FRANCISCO TADEU BARBOSA DE ALENCAR,PE,dep.tadeualencar@camara.leg.br
ALEX CANZIANI SILVEIRA,PR,dep.alexcanziani@camara.leg.br
LUIZIANNE DE OLIVEIRA LINS,CE,dep.luiziannelins@camara.leg.br
LÚCIO QUADROS VIEIRA LIMA,BA,dep.luciovieiralima@camara.leg.br
ANTONIO DA CRUZ FILGUEIRA JUNIOR,MA,dep.juniormarreca@camara.leg.br
AUGUSTO SILVEIRA DE CARVALHO,DF,dep.augustocarvalho@camara.leg.br
JOSE AUGUSTO ROSA,SP,dep.capitaoaugusto@camara.leg.br
LUIZ CLAUDIO PEREIRA ALVES,RO,dep.luizclaudio@camara.leg.br
ALEXANDRE VALLE CARDOSO,RJ,dep.alexandrevalle@camara.leg.br
RONALDO MANCHADO MARTINS,CE,dep.ronaldomartins@camara.leg.br
VITOR LIPPI,SP,dep.vitorlippi@camara.leg.br
JEFFERSON ALVES DE CAMPOS,SP,dep.jeffersoncampos@camara.leg.br
MARCO ANTONIO TEBALDI,SC,dep.marcotebaldi@camara.leg.br
ARTHUR VIRGILIO DO CARMO RIBEIRO BISNETO,AM,dep.arthurvirgiliobisneto@camara.leg.br
MARIA MARGARIDA MARTINS SALOMÃO,MG,dep.margaridasalomao@camara.leg.br
FELIX DE ALMEIDA MENDONÇA JÚNIOR,BA,dep.felixmendoncajunior@camara.leg.br
MARCOS ABRAO RORIZ SOARES DE CARVALHO,GO,dep.marcosabrao@camara.leg.br
ORLANDO SILVA DE JESUS JUNIOR,SP,dep.orlandosilva@camara.leg.br
ULDURICO ALENCAR PINTO,BA,dep.ulduricojunior@camara.leg.br
ELIZIANE PEREIRA GAMA MELO,MA,dep.elizianegama@camara.leg.br
RENATO DELMAR MOLLING,RS,dep.renatomolling@camara.leg.br
PAULO ROBERTO GOMES MANSUR,SP,dep.betomansur@camara.leg.br
RENZO DO AMARAL BRAZ,MG,dep.renzobraz@camara.leg.br
RODRIGO BATISTA DE CASTRO,MG,dep.rodrigodecastro@camara.leg.br
MÁRCIO CARLOS MARINHO,BA,dep.marciomarinho@camara.leg.br
CLEBER VERDE CORDEIRO MENDES,MA,dep.cleberverde@camara.leg.br
CARLOS AUGUSTO ANDRADE SILVA,RR,dep.carlosandrade@camara.leg.br
PAULO ROBERTO FOLETTO,ES,dep.paulofoletto@camara.leg.br
NILTON BALBINO,RO,dep.niltoncapixaba@camara.leg.br
FABIO PAULINO GARCIA,MT,dep.fabiogarcia@camara.leg.br
REJANE RIBEIRO SOUSA DIAS,PI,dep.rejanedias@camara.leg.br
ANDRÉ CARLOS ALVES DE PAULA FILHO,PE,dep.andredepaula@camara.leg.br
JOÃO CAMPOS DE ARAÚJO,GO,dep.joaocampos@camara.leg.br
ROGÉRIO SIMONETTI MARINHO,RN,dep.rogeriomarinho@camara.leg.br
RODRIGO FELINTO IBARRA EPITÁCIO MAIA,RJ,dep.rodrigomaia@camara.leg.br
AUREO LIDIO MOREIRA RIBEIRO,RJ,dep.aureo@camara.leg.br
LEONARDO LEMOS BARROS QUINTÃO,MG,dep.leonardoquintao@camara.leg.br
MÁRIO LÚCIO HERINGER,MG,dep.marioheringer@camara.leg.br
JAIME MARTINS FILHO,MG,dep.jaimemartins@camara.leg.br
WELINGTON COIMBRA,ES,dep.lelocoimbra@camara.leg.br
ALICE MAZZUCO PORTUGAL,BA,dep.aliceportugal@camara.leg.br
MARCOS ROGÉRIO DA SILVA BRITO,RO,dep.marcosrogerio@camara.leg.br
JOÃO ALBERTO FRAGA SILVA,DF,dep.albertofraga@camara.leg.br
CELSO PANSERA,RJ,dep.celsopansera@camara.leg.br
WLADIMIR AFONSO DA COSTA RABELO,PA,dep.wladimircosta@camara.leg.br
JOSÉ MENTOR GUILHERME DE MELLO NETTO,SP,dep.josementor@camara.leg.br
MARINALDO ROSENDO DE ALBUQUERQUE,PE,dep.marinaldorosendo@camara.leg.br
SAMUEL MOREIRA DA SILVA JUNIOR,SP,dep.samuelmoreira@camara.leg.br
JERÔNIMO PIZZOLOTTO GOERGEN,RS,dep.jeronimogoergen@camara.leg.br
RICARDO IZAR JUNIOR,SP,dep.ricardoizar@camara.leg.br
RODRIGO GARCIA,SP,dep.rodrigogarcia@camara.leg.br
ANDRES NAVARRO SANCHEZ,SP,dep.andressanchez@camara.leg.br
VINICIUS DE AZEVEDO GURGEL,AP,dep.viniciusgurgel@camara.leg.br
LAUDIVIO ALVARENGA CARVALHO,MG,dep.laudiviocarvalho@camara.leg.br
RUBENS OTONI GOMIDE,GO,dep.rubensotoni@camara.leg.br
LUIZ CARLOS CAETANO,BA,dep.caetano@camara.leg.br
ARNALDO FARIA DE SÁ,SP,dep.arnaldofariadesa@camara.leg.br
SHÉRIDAN ESTÉRFANY OLIVEIRA,RR,dep.sheridan@camara.leg.br
GIOVANI BATISTA FELTES,RS,dep.giovanifeltes@camara.leg.br
César Antonio de Souza,SC,dep.cesarsouza@camara.leg.br
FLAVIO AUGUSTO DA SILVA,SP,dep.flavinho@camara.leg.br
REGINALDO LÁZARO DE OLIVEIRA LOPES,MG,dep.reginaldolopes@camara.leg.br
JOSÉ BENITO PRIANTE JÚNIOR,PA,dep.josepriante@camara.leg.br
VICENTE PAULO DA SILVA,SP,dep.vicentinho@camara.leg.br
ANÍBAL FERREIRA GOMES,CE,dep.anibalgomes@camara.leg.br
EDER MAURO CARDOSO BARRA,PA,dep.delegadoedermauro@camara.leg.br
LEOPOLDO COSTA MEYER,PR,dep.leopoldomeyer@camara.leg.br
JORGE CATARINO LEONARDELI BOEIRA,SC,dep.jorgeboeira@camara.leg.br
JOSÉ AIRTON FÉLIX CIRILO DA SILVA,CE,dep.joseairtoncirilo@camara.leg.br
JOAQUIM PASSARINHO PINTO DE SOUZA PORTO,PA,dep.joaquimpassarinho@camara.leg.br
MARCIVANIA DO SOCORRO DA ROCHA FLEXA,AP,dep.professoramarcivania@camara.leg.br
JOSÉ SILVA SOARES,MG,dep.zesilva@camara.leg.br
LEONARDO CUNHA DE BRITO,AC,dep.leodebrito@camara.leg.br
CARLOS VICTOR GUTERRES MENDES,MA,dep.victormendes@camara.leg.br
EDMAR DE SOUZA ARRUDA,PR,dep.edmararruda@camara.leg.br
JOSÉ SARNEY FILHO,MA,dep.sarneyfilho@camara.leg.br
GERALDO RESENDE PEREIRA,MS,dep.geraldoresende@camara.leg.br
HERCULANO CASTILHO PASSOS JUNIOR,SP,dep.herculanopassos@camara.leg.br
GILBERTO NASCIMENTO SILVA,SP,dep.gilbertonascimento@camara.leg.br
PEDRO PAULO CARVALHO TEIXEIRA,RJ,dep.pedropaulo@camara.leg.br
EVANDRO ROGERIO ROMAN,PR,dep.evandroroman@camara.leg.br
EDUARDO HENRIQUE DA FONTE DE ALBUQUERQUE SILVA,PE,dep.eduardodafonte@camara.leg.br
JOSÉ GERALDO TORRES DA SILVA,PA,dep.zegeraldo@camara.leg.br
EFRAIM DE ARAÚJO MORAIS FILHO,PB,dep.efraimfilho@camara.leg.br
MILTON ANTONIO CASQUEL MONTI,SP,dep.miltonmonti@camara.leg.br
LUIZ SÉRGIO NÓBREGA DE OLIVEIRA,RJ,dep.luizsergio@camara.leg.br
LUIZ CARLOS RAMOS,RJ,dep.luizcarlosramos@camara.leg.br
LUIS ANTONIO FRANCISCATTO COVATTI,RS,dep.covattifilho@camara.leg.br
MARCOS JOSE REATEGUI SOUZA,AP,dep.marcosreategui@camara.leg.br
CESAR HANNA HALUM,TO,dep.cesarhalum@camara.leg.br
IZALCI LUCAS FERREIRA,DF,dep.izalcilucas@camara.leg.br
HENRIQUE FONTANA JÚNIOR,RS,dep.henriquefontana@camara.leg.br
JOSINIANE BRAGA NUNES,TO,dep.josinunes@camara.leg.br
EDUARDO PEDROSA CURY,SP,dep.eduardocury@camara.leg.br
ÁTILA FREITAS LIRA,PI,dep.atilalira@camara.leg.br
CHRISTIANE DE SOUZA YARED,PR,dep.christianedesouzayared@camara.leg.br
LUCIANA BARBOSA DE OLIVEIRA SANTOS,PE,dep.lucianasantos@camara.leg.br
VANDER LUIZ DOS SANTOS LOUBET,MS,dep.vanderloubet@camara.leg.br
EVAIR VIEIRA DE MELO,ES,dep.evairvieirademelo@camara.leg.br
JOAO CARLOS BACELAR BATISTA,BA,dep.bacelar@camara.leg.br
MARCOS MONTES CORDEIRO,MG,dep.marcosmontes@camara.leg.br
PEDRO OLIVEIRA CUNHA LIMA,PB,dep.pedrocunhalima@camara.leg.br
GEOVANIA DE SA RODRIGUES,SC,dep.geovaniadesa@camara.leg.br
ROBERTO DA SILVA SALES,RJ,dep.robertosales@camara.leg.br
RAIMUNDO ANGELIM VASCONCELOS,AC,dep.angelim@camara.leg.br
MAURO MARIANI,SC,dep.mauromariani@camara.leg.br
CAIO NARCIO RODRIGUES DA SILVEIRA,MG,dep.caionarcio@camara.leg.br
NELSON MEURER,PR,dep.nelsonmeurer@camara.leg.br
HEBERTE LAMARCK GOMES DA SILVA,PE,dep.betinhogomes@camara.leg.br
VALDIR LUIZ ROSSONI,PR,dep.rossoni@camara.leg.br
DIEGO LEONARDO DE ANDRADE CARVALHO,MG,dep.diegoandrade@camara.leg.br
WALDENOR ALVES PEREIRA FILHO,BA,dep.waldenorpereira@camara.leg.br
RAIMUNDO GOMES DE MATOS,CE,dep.raimundogomesdematos@camara.leg.br
EXPEDITO GONCALVES FERREIRA NETTO,RO,dep.expeditonetto@camara.leg.br
PAULO FERNANDO FEIJO TORRES,RJ,dep.paulofeijo@camara.leg.br
FÁBIO AUGUSTO RAMALHO DOS SANTOS,MG,dep.fabioramalho@camara.leg.br
OTAVIO SANTOS SILVA LEITE,RJ,dep.otavioleite@camara.leg.br
JOAO HENRIQUE HOLANDA  CALDAS,AL,dep.jhc@camara.leg.br
MIGUEL LOMBARDI,SP,dep.miguellombardi@camara.leg.br
OSMAR GASPARINI TERRA,RS,dep.osmarterra@camara.leg.br
MARIO SILVIO MENDES NEGROMONTE JUNIOR,BA,dep.marionegromontejr@camara.leg.br
GIUSEPPE VECCI,GO,dep.giuseppevecci@camara.leg.br
SÁGUAS MORAES SOUSA,MT,dep.saguasmoraes@camara.leg.br
CARLOS ALBERTO ROLIM ZARATTINI,SP,dep.carloszarattini@camara.leg.br
MARCUS ANTÔNIO VICENTE,ES,dep.marcusvicente@camara.leg.br
SOSTENES SILVA CAVALCANTE,RJ,dep.sostenescavalcante@camara.leg.br
WANDERLEY ALVES DE OLIVEIRA,RJ,dep.deley@camara.leg.br
ALUISIO GUIMARAES MENDES FILHO,MA,dep.aluisiomendes@camara.leg.br
RONALDO CARLETTO,BA,dep.ronaldocarletto@camara.leg.br
LÚCIO DUTRA VALE,PA,dep.luciovale@camara.leg.br
AGUINALDO VELLOSO BORGES RIBEIRO,PB,dep.aguinaldoribeiro@camara.leg.br
FABIO CRUZ MITIDIERI,SE,dep.fabiomitidieri@camara.leg.br
JOSÉ NUNES SOARES,BA,dep.josenunes@camara.leg.br
ÁTILA SIDNEY LINS ALBUQUERQUE,AM,dep.atilalins@camara.leg.br
LUIZ GIONILSON PINHEIRO BORGES,AP,dep.cabucuborges@camara.leg.br
RUBENS BUENO,PR,dep.rubensbueno@camara.leg.br
JÚLIO CÉSAR DELGADO,MG,dep.juliodelgado@camara.leg.br
LUIZ GONZAGA PATRIOTA,PE,dep.gonzagapatriota@camara.leg.br
JOSÉ CARLOS BECKER DE OLIVEIRA E SILVA,PR,dep.zecadirceu@camara.leg.br
JOSÉ SARAIVA FELIPE,MG,dep.saraivafelipe@camara.leg.br
GUILHERME MUSSI FERREIRA,SP,dep.guilhermemussi@camara.leg.br
JOSÉ CARLOS ALELUIA COSTA,BA,dep.josecarlosaleluia@camara.leg.br
RONALDO AUGUSTO LESSA SANTOS,AL,dep.ronaldolessa@camara.leg.br
ALTINEU CÔRTES FREITAS COUTINHO,RJ,dep.altineucortes@camara.leg.br
JOAO FERNANDO PONTUAL COUTINHO,PE,dep.joaofernandocoutinho@camara.leg.br
RODRIGO OTAVIO SOARES PACHECO,MG,dep.rodrigopacheco@camara.leg.br
CELIO ANTONIO DA SILVEIRA,GO,dep.celiosilveira@camara.leg.br
JOAO PAULO TAVARES PAPA,SP,dep.joaopaulopapa@camara.leg.br
ANTONIO JACOME DE LIMA JUNIOR,RN,dep.antoniojacome@camara.leg.br
EDUARDO LUIZ BARROS BARBOSA,MG,dep.eduardobarbosa@camara.leg.br
SIMÃO SESSIM,RJ,dep.simaosessim@camara.leg.br
JORGE TADEU MUDALEN,SP,dep.jorgetadeumudalen@camara.leg.br
ALEX SPINELLI MANENTE,SP,dep.alexmanente@camara.leg.br
PAULO SÉRGIO PARANHOS DE MAGALHÃES,BA,dep.paulomagalhaes@camara.leg.br
RICARDO TEOBALDO CAVALCANTI,PE,dep.ricardoteobaldo@camara.leg.br
MARCELO SQUASSONI,SP,dep.marcelosquassoni@camara.leg.br
MARCELO GUILHERME DE ARO FERREIRA,MG,dep.marceloaro@camara.leg.br
JOSÉ NOBRE GUIMARÃES,CE,dep.joseguimaraes@camara.leg.br
DOMINGOS SÁVIO CAMPOS RESENDE,MG,dep.domingossavio@camara.leg.br
FELIPE LEONE BORNIER DE OLIVEIRA,RJ,dep.felipebornier@camara.leg.br
JOSE ADAIL CARNEIRO SILVA,CE,dep.adailcarneiro@camara.leg.br
ROBERTO EGÍDIO BALESTRA,GO,dep.robertobalestra@camara.leg.br
SERGIO BAVINI,SP,dep.sergioreis@camara.leg.br
EDMILSON BRITO RODRIGUES,PA,dep.edmilsonrodrigues@camara.leg.br
JOSE MARIA MACEDO JUNIOR,CE,dep.macedo@camara.leg.br
JOSE JUSCELINO DOS SANTOS REZENDE FILHO,MA,dep.juscelinofilho@camara.leg.br
LUIZ FELIPE BALEIA TENUTO ROSSI,SP,dep.baleiarossi@camara.leg.br
ROBERTO PEREIRA DE BRITTO,BA,dep.robertobritto@camara.leg.br
ANTONIO LUIZ PARANHOS RIBEIRO LEITE DE BRITO,BA,dep.antoniobrito@camara.leg.br
LUIZ FERNANDO RAMOS FARIA,MG,dep.luizfernandofaria@camara.leg.br
GABRIEL GUIMARÃES DE ANDRADE,MG,dep.gabrielguimaraes@camara.leg.br
JOÃO JOSÉ DE ARRUDA JÚNIOR,PR,dep.joaoarruda@camara.leg.br
ADALBERTO SOUZA GALVÃO,BA,dep.bebeto@camara.leg.br
ANDRÉ PEIXOTO FIGUEIREDO LIMA,CE,dep.andrefigueiredo@camara.leg.br
MAURO RIBEIRO LOPES,MG,dep.maurolopes@camara.leg.br
PAULO ABI-ACKEL,MG,dep.pauloabiackel@camara.leg.br
PEDRO FRANCISCO UCZAI,SC,dep.pedrouczai@camara.leg.br
MAURÍCIO QUINTELLA MALTA LESSA,AL,dep.mauricioquintellalessa@camara.leg.br
AFONSO ANTUNES DA MOTTA,RS,dep.afonsomotta@camara.leg.br
EZEQUIEL CORTAZ TEIXEIRA,RJ,dep.ezequielteixeira@camara.leg.br
JORGE WICKS CÔRTE REAL,PE,dep.jorgecortereal@camara.leg.br
CARLOS HENRIQUE AMORIM,TO,dep.carloshenriquegaguim@camara.leg.br
SINVAL MALHEIROS PINTO JÚNIOR,SP,dep.dr.sinvalmalheiros@camara.leg.br
MARIANA FONSECA RIBEIRO CARVALHO DE MORAES,RO,dep.marianacarvalho@camara.leg.br
ANTONIO CARLOS MARTINS DE BULHÕES,SP,dep.antoniobulhoes@camara.leg.br
JOSE CAVALCANTI ALVES JUNIOR,PE,dep.zecacavalcanti@camara.leg.br
DARCI POMPEO DE MATTOS,RS,dep.pompeodemattos@camara.leg.br
ADILTON DOMINGOS SACHETTI,MT,dep.adiltonsachetti@camara.leg.br
MARIA DA CONCEICAO SAMPAIO MOURA,AM,dep.conceicaosampaio@camara.leg.br
CARMEN EMÍLIA BONFÁ ZANOTTO,SC,dep.carmenzanotto@camara.leg.br
VINICIUS RAPOZO DE CARVALHO,SP,dep.viniciuscarvalho@camara.leg.br
JOSUÉ BENGTSON,PA,dep.josuebengtson@camara.leg.br
PEDRO FERNANDES RIBEIRO,MA,dep.pedrofernandes@camara.leg.br
MARCO AURÉLIO SPALL MAIA,RS,dep.marcomaia@camara.leg.br
LUIZ PAULO TEIXEIRA FERREIRA,SP,dep.pauloteixeira@camara.leg.br
RODRIGO RODRIGUES DE SOUZA MARTINS,PI,dep.rodrigomartins@camara.leg.br
ROBERTO SALAME FILHO,PA,dep.betosalame@camara.leg.br
HEULER ABREU CRUVINEL,GO,dep.heulercruvinel@camara.leg.br
